class,tweet,clean_txt
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out..., rt  woman shouldnt complain clean hous amp man alway take trash
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!, rt  boy dat coldtyga dwn bad cuffin dat hoe  place
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit, rt  ever fuck bitch start cri confus shit
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny, rt  vivabas look like tranni
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;, rt  shit hear might true might faker bitch told ya 
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""", shit blow meclaim faith somebodi still fuck hoe 
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""", sit hate anoth bitch  got much shit go
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;, caus im tire big bitch come us skinni 
1,""" &amp; you might not get ya bitch back &amp; thats that """, amp might get ya bitch back amp that 
1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",  fight mariambitch
1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh", keek bitch curv everyon  lol walk convers like smh
1,""" Murda Gang bitch its Gang Land """, murda gang bitch gang land 
1,""" So hoes that smoke are losers ? "" yea ... go on IG", hoe smoke loser   yea  go ig
1,""" bad bitches is the only thing that i like """, bad bitch thing like 
1,""" bitch get up off me """, bitch get 
1,""" bitch nigga miss me with it """, bitch nigga miss 
1,""" bitch plz whatever """, bitch plz whatev 
1,""" bitch who do you love """, bitch love 
1,""" bitches get cut off everyday B """, bitch get cut everyday b 
1,""" black bottle &amp; a bad bitch """, black bottl amp bad bitch 
1,""" broke bitch cant tell me nothing """, broke bitch cant tell noth 
1,""" cancel that bitch like Nino """, cancel bitch like nino 
1,""" cant you see these hoes wont change """, cant see hoe wont chang 
1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up", fuck bitch dont even suck dick   kermit video bout fuck ig
1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q", got ya bitch tip toe hardwood floor   
1,""" her pussy lips like Heaven doors "" &#128524;", pussi lip like heaven door  
1,""" hoe what its hitting for """, hoe hit 
1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;", met pussi ocean dr  gave pussi pill  
1,""" i need a trippy bitch who fuck on Hennessy """, need trippi bitch fuck hennessi 
1,""" i spend my money how i want bitch its my business """, spend money want bitch busi 
1,""" i txt my old bitch my new bitch pussy wetter """, txt old bitch new bitch pussi wetter 
1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;", id say im back old old bitch would get excit  
1,""" if you aint bout that Murder Game pussy nigga shut up """, aint bout murder game pussi nigga shut 
1,""" if you're toes ain't done you pussy stinks """, your toe aint done pussi stink 
1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """, im done bitter bitch wrap  angri bird there app 
1,""" is that ya bitch """, ya bitch 
1,""" it aint nothing to cut a bitch off """, aint noth cut bitch 
1,""" jus meet son now he ya mane ass bitches "" #Shots", jus meet son ya mane ass bitch  shot
1,""" lames crying over hoes thats tears of a clown """, lame cri hoe that tear clown 
1,""" like Snoop said in 94 we dont love these hoes """, like snoop said  dont love hoe 
2,""" momma said no pussy cats inside my doghouse """, momma said pussi cat insid doghous 
1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC", hate hoe favorit   sevenon  
1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U", nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick 
1,""" pimps up pimps up hoes down "" Future voice", pimp pimp hoe  futur voic
1,""" post a picture of that pussy get 200 likes """, post pictur pussi get  like 
1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b", pussi power drug   happyhumpday 
1,""" quick piece of pussy call it a drive by """, quick piec pussi call drive 
1,""" running round here like some brand new pussy thats bout to get fucked """, run round like brand new pussi that bout get fuck 
1,""" these bitches even worst they'll send them guys for you """, bitch even worst theyll send guy 
1,""" these hoes like niggas that spend money not talk bout it """, hoe like nigga spend money talk bout 
1,""" we dont trust these niggas all these bitches """, dont trust nigga bitch 
1,""" yall niggas b cuffing hoes cause yall aint never have bitches """, yall nigga b cuf hoe caus yall aint never bitch 
1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;", dodg bullet    da bitch cut pregnant bound thank god 
1,""" young Pill Chamberlain these bitches love my music """, young pill chamberlain bitch love music 
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""", teanna trump probabl cleaner twitter hoe
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""", gay nigga couldnt wait act like bitch tonight
1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""", theparadox bitch
1,"""&amp; he's gone always be a hoe""",amp hes gone alway hoe
1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tacsi like movi
1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitch  russel simmon
1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet", probabl  mind school much  deal bitch ass teacher retweet
1,"""@A7XDemery: I'm a fucking fag they said""", im fuck fag said
1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?", stuff make pussi
2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad", woof woof hot scalli lad
1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes", ya ever ask bitch bitch  kany voic yes
1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!", u gone bring ur side bitch game know ya gf friend   swear
2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles", woof woof hot sole
2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol", lemmi eat oreo amp dish one oreo lol
1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",
1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?", fuck red malon man bitch ass niggah could pleas use complet sentenc
2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao", eggplant emoji doey say look like scream lmao
1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch", that one sexi bitch
1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!", seh pussi wetter shower curtainahmesehwetnessltlmao
1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""", eaglesn everi eagl need see pic post bitch said racist shit
1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",
2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!", soooo ador
1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",  aint shit  damn skippi lol
1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance", u ever kill ant sidewalk think damn nigga way get pussyno bs must b 
1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",  ring  mvps  bitch lol
1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""", ppl talk bad ghettohood  kid grow nigga funnnnnnn 
1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples", hes pussi tattoo nippl
1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",  rt nelayden bitch want act like nigga bad  shit aint cuteeee nigga act like bitch
1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof", woof woof
1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe", yeah shes hoe
1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her", ok sis shed rather broke bitch shrug shell tell work
0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad", whalelookyher  queer gaywad
1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol", itsnotadam faggot read tweet dat k wasnt even funni lol
1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE", fr  lulwhor
1,"""@CASHandBOOBIES: I been kidnapped yo bitch""", kidnap yo bitch
0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican", whitethunduh alsarabsss hes beaner smh tell hes mexican
1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo", aydanmccoy happi birthday nig thank yo
1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!", bitch need go
1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",
1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""", would yall lil ugli bald head bitch stop make makeup amp weav
1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig", leaf better win damn game go riot shit earlychristma better start loot nig
1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""", go back school suck dick hoe attend
1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",  year old
1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard", whitethunduh come never bring food dont car retard
1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople", richnow doesnt show hella tinder hoe im friend anymor chill brought like like  propl
1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy", bout cowboy shutup pussi
1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",tcoaanpsujmyi ltbitch want like depress shitfoh
1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz", lilaerii girl know spit g shit amp go lbvsbitch plz
1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again", let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick
1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""", harlem shake excus go full retard  second
1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh", dont need act like hoe bc shes emot damag foh
1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""", one loyal femal wayyyyy better hoe  idc 
1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",
1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands", check  man cowboysn even faggot ny fan stand
1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch", happen vixen ent bitch got ran threw side like foothil bitch
1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow", whitethunduh im bitch okay nude pat  wow
0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",tcoxuccwoetmn
1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows", fuck wrong bitch nobodi know
1,"""@Dietrich1892: Yall shut up:p"" make me bitch",p make bitch
1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""", hate im pregnant type bitch
